[2022-05-30 16:30:27] [class-ss-plugin.php:268] Received request to start generating a static archive
[2022-05-30 16:30:27] [class-ss-archive-creation-job.php:61] Starting a job; no job is presently running
[2022-05-30 16:30:27] [class-ss-archive-creation-job.php:62] Here's our task list: setup, fetch_urls, transfer_files_locally, wrapup
[2022-05-30 16:30:27] [class-ss-archive-creation-job.php:76] Pushing first task to queue: setup
[2022-05-30 16:30:30] [class-ss-archive-creation-job.php:105] Current task: setup
[2022-05-30 16:30:30] [class-ss-archive-creation-job.php:121] Performing task: setup
[2022-05-30 16:30:30] [class-ss-task.php:44] Status message: [setup] Setting up
[2022-05-30 16:30:30] [class-ss-setup-task.php:32] Creating archive directory: F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io\wp-content\plugins\simply-static/static-files/simply-static-1-1653928227\
[2022-05-30 16:30:31] [class-ss-setup-task.php:77] Adding origin URL to queue: http://localhost/EarthShastri.github.io/
[2022-05-30 16:30:31] [class-ss-setup-task.php:121] Adding files from directory: F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads
[2022-05-30 16:30:31] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\Oval.png to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\Oval.png
[2022-05-30 16:30:31] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-594-1.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-594-1.jpg
[2022-05-30 16:30:31] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-594-2.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-594-2.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-595-1.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-595-1.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-595.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-595.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-597.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\Rectangle-597.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\sydneylogo.svg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\sydneylogo.svg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\10\three-women-in-office-1-1-1.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\10\three-women-in-office-1-1-1.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Bitmap-1.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Bitmap-1.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Bitmap-2.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Bitmap-2.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Bitmap.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Bitmap.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Img-5.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Img-5.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Img-6.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Img-6.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Img-7.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Img-7.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\Mask-Group-2.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\Mask-Group-2.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-allan-mas-5623729.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-allan-mas-5623729.jpg
[2022-05-30 16:30:32] [class-ss-setup-task.php:126] Adding file F:\Softwares\Web Development\XAMPP\htdocs\EarthShastri.github.io/wp-content/uploads\2021\11\pexels-andrew-neel-7932264.jpg to queue as: http://localhost/EarthShastri.github.io/wp-content/uploads\2021\11\pexels-andrew-neel-7932264.jpg
